Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-17,32.48180696991598,33.99799777265092,32.39809437459396,33.75615310668945,21916900,0.0,0
2019-01-18,33.70964828655082,34.425882139128596,33.6352323521626,34.26775360107422,12905900,0.0,0
2019-01-22,33.95149434502842,34.193339044843526,33.57942175478512,33.830570220947266,13381700,0.0,0
2019-01-23,33.979396495736935,34.17473654541121,33.70964760986223,33.94219207763672,13918600,0.0,0
2019-01-24,34.30496061085125,35.01189422607422,34.211940695462076,35.01189422607422,14094100,0.0,0
2019-01-25,35.346753986628755,35.58859863684377,35.23513365178694,35.47697830200195,16763700,0.0,0
2019-01-28,34.342173662630564,35.030507016176635,34.32357322322334,34.82586669921875,14086500,0.0,0
2019-01-29,34.686335428572,34.686335428572,33.76545772808769,33.793365478515625,10100800,0.0,0
2019-01-30,34.239848942607175,34.83516221637477,33.756156020584264,34.770050048828125,9281600,0.0,0
2019-01-31,34.70494086636885,35.43977875593638,34.70494086636885,34.99329376220703,7633400,0.0,0
2019-02-01,35.11421345348395,35.225833800726114,34.82585704573258,34.946781158447266,6438300,0.0,0
2019-02-04,34.88167751770783,35.35606677067565,34.770057143188524,35.29095458984375,7283800,0.0,0
2019-02-05,35.2723471210886,35.59791154146051,35.23514269881964,35.579307556152344,7314000,0.0,0
2019-02-06,35.737435007433376,36.109507605435894,35.635118413912586,36.03509521484375,8795200,0.0,0
2019-02-07,35.69092229532044,35.77463844184116,35.188628964542964,35.458377838134766,7916200,0.0,0
2019-02-08,35.07700466461645,35.272341154790105,34.8816681744428,35.15142059326172,7147200,0.0,0
2019-02-11,35.2723477019336,35.61651611328125,35.18863508918936,35.61651611328125,8860700,0.0,0
2019-02-12,35.94207763671875,36.06300177121307,35.75604132557692,35.94207763671875,8831200,0.0,0
2019-02-13,35.69092641706776,35.79324655778133,35.393269761363115,35.46768569946289,7155600,0.0,0
2019-02-14,35.27234094279217,35.542093359989785,35.12351263474292,35.40256881713867,7782800,0.0,0
2019-02-15,35.26304483273578,35.60720966986668,35.225836864303474,35.430477142333984,6257600,0.0,0
2019-02-19,35.55139843352265,35.96067540863328,35.43977453711775,35.77463912963867,8105700,0.0,0
2019-02-20,36.211831028488895,36.75133244129523,36.17462305564774,36.27694320678711,7178600,0.0,0
2019-02-21,36.342051268761985,36.44437140831195,36.09090280305221,36.25833511352539,4607300,0.0,0
2019-02-22,36.388560996311135,36.658313457757444,36.351356574456084,36.63970947265625,5117800,0.0,0
2019-02-25,37.08619330157268,37.13270148868666,36.72342447439745,36.816444396972656,5101500,0.0,0
2019-02-26,36.65830853394034,36.90015321107745,36.63040433421022,36.83504104614258,5587300,0.0,0
2019-02-27,36.75132689614594,36.82574283060015,36.33274968405572,36.695518493652344,8194900,0.0,0
2019-02-28,36.38856035368296,36.5466924500768,36.276939993394365,36.323448181152344,5705100,0.0,0
2019-03-01,36.61180526917813,36.76063360164034,36.46297693671591,36.63970947265625,5299200,0.0,0
2019-03-04,36.58390189533498,36.58390189533498,36.00718898916152,36.41646957397461,7081100,0.0,0
2019-03-05,36.23042769082143,36.490876351363845,35.96067526477571,36.29553985595703,7192400,0.0,0
